Sample Number,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
   1,Mar/02/2020,06:06:05, 415,1488,1903,0.781,3.585
   2,Mar/02/2020,06:06:15, 390,1410,1800,0.783,3.615
   3,Mar/02/2020,06:06:45, 319,1224,1543,0.793,3.836
   4,Mar/02/2020,06:07:00, 404,1322,1726,0.765,3.272
   5,Mar/02/2020,06:07:10, 354,1206,1560,0.773,3.406
   6,Mar/02/2020,06:07:33, 476,1148,1624,0.706,2.411
   7,Mar/02/2020,06:07:45, 363,1401,1764,0.794,3.859
   8,Mar/02/2020,06:07:57, 392,1460,1852,0.788,3.724
   9,Mar/02/2020,06:08:18, 377,1316,1693,0.777,3.490
  10,Mar/02/2020,06:08:32, 418, 837,1255,0.666,2.002
  11,Mar/02/2020,06:08:53, 422,1513,1935,0.781,3.585
  12,Mar/02/2020,06:09:16, 423,1527,1950,0.783,3.609
  13,Mar/02/2020,06:09:30, 379, 989,1368,0.722,2.609
  14,Mar/02/2020,06:09:46, 440, 925,1365,0.677,2.102
  15,Mar/02/2020,06:10:07, 435, 974,1409,0.691,2.239
  16,Mar/02/2020,06:10:26, 471,1618,2089,0.774,3.435
  17,Mar/02/2020,06:10:41, 413,1473,1886,0.781,3.566
  18,Mar/02/2020,06:11:11, 449,1318,1767,0.745,2.935
  19,Mar/02/2020,06:11:47, 445,1308,1753,0.746,2.939
  20,Mar/02/2020,06:11:58, 359,1557,1916,0.812,4.337
  21,Mar/02/2020,06:12:08, 400,1466,1866,0.785,3.665
  22,Mar/02/2020,06:12:25, 457,1391,1848,0.752,3.043
  23,Mar/02/2020,06:12:38, 379,1053,1432,0.735,2.778
  24,Mar/02/2020,06:12:54, 466, 905,1371,0.660,1.942
  25,Mar/02/2020,06:13:10, 340,1084,1424,0.761,3.188
  26,Mar/02/2020,06:13:27, 359, 863,1222,0.706,2.403
  27,Mar/02/2020,06:13:41, 497,1521,2018,0.753,3.060
  28,Mar/02/2020,06:13:49, 401,1032,1433,0.720,2.573
  29,Mar/02/2020,06:14:27, 338,1242,1580,0.786,3.674
  30,Mar/02/2020,06:14:43, 366,1216,1582,0.768,3.322
  31,Mar/02/2020,06:14:55, 442,1672,2114,0.790,3.782
  32,Mar/02/2020,06:15:14, 362,1196,1558,0.767,3.303
  33,Mar/02/2020,06:15:26, 294, 912,1206,0.756,3.102
  34,Mar/02/2020,06:15:38, 338,1609,1947,0.826,4.760
  35,Mar/02/2020,06:15:49, 320,1204,1524,0.790,3.762
  36,Mar/02/2020,06:16:07, 364, 771,1135,0.679,2.118
  37,Mar/02/2020,06:16:17, 430,1052,1482,0.709,2.446
  38,Mar/02/2020,06:16:29, 350,1029,1379,0.746,2.940
  39,Mar/02/2020,06:16:58, 275,1231,1506,0.817,4.476
  40,Mar/02/2020,06:17:15, 389,1198,1587,0.754,3.079
  41,Mar/02/2020,06:17:25, 355,1325,1680,0.788,3.732
  42,Mar/02/2020,06:17:36, 365,1242,1607,0.772,3.402
  43,Mar/02/2020,06:17:48, 381,1143,1524,0.750,3.000
  44,Mar/02/2020,06:18:07, 416,1389,1805,0.769,3.338
  45,Mar/02/2020,06:18:18, 393,1478,1871,0.789,3.760
  46,Mar/02/2020,06:18:30, 365,1535,1900,0.807,4.205
  47,Mar/02/2020,06:18:46, 548,1477,2025,0.729,2.695
  48,Mar/02/2020,06:18:56, 370,1534,1904,0.805,4.145
  49,Mar/02/2020,06:19:09, 400,1188,1588,0.748,2.970
  50,Mar/02/2020,06:19:20, 390,1461,1851,0.789,3.746
  51,Mar/02/2020,06:19:31, 373, 916,1289,0.710,2.455
  52,Mar/02/2020,06:19:42, 508, 769,1277,0.602,1.513
  53,Mar/02/2020,06:19:52, 496,1036,1532,0.676,2.088
  54,Mar/02/2020,06:20:01, 446,1531,1977,0.774,3.432
  55,Mar/02/2020,06:20:09, 368,1454,1822,0.798,3.951
  56,Mar/02/2020,06:20:21, 345,1086,1431,0.758,3.147
  57,Mar/02/2020,06:20:39, 331, 759,1090,0.696,2.293
  58,Mar/02/2020,06:20:52, 403,1205,1608,0.749,2.990
  59,Mar/02/2020,06:21:05, 401, 994,1395,0.712,2.478
  60,Mar/02/2020,06:21:19, 417,1218,1635,0.744,2.920
  61,Mar/02/2020,06:21:28, 419, 576, 995,0.578,1.374
  62,Mar/02/2020,06:21:42, 417,1345,1762,0.763,3.225
  63,Mar/02/2020,06:21:55, 426, 506, 932,0.542,1.187
  64,Mar/02/2020,06:22:05, 403,1312,1715,0.765,3.255
  65,Mar/02/2020,06:22:16, 421,1502,1923,0.781,3.567
  66,Mar/02/2020,06:23:01, 417,   0, 417,0.000,0.000
  67,Mar/02/2020,06:23:16, 418,1104,1522,0.725,2.641
  68,Mar/02/2020,06:23:45, 373,1439,1812,0.794,3.857
  69,Mar/02/2020,06:24:01, 426, 907,1333,0.680,2.129
  70,Mar/02/2020,06:24:15, 345, 973,1318,0.738,2.820
  71,Mar/02/2020,06:24:26, 465, 547,1012,0.540,1.176
  72,Mar/02/2020,06:24:38, 314,1334,1648,0.809,4.248
  73,Mar/02/2020,06:24:49, 343,1287,1630,0.789,3.752
  74,Mar/02/2020,06:25:04, 312,1091,1403,0.777,3.496
  75,Mar/02/2020,06:25:22, 374,1609,1983,0.811,4.302
  76,Mar/02/2020,06:25:34, 384,1266,1650,0.767,3.296
  77,Mar/02/2020,06:25:46, 364,1324,1688,0.784,3.637
  78,Mar/02/2020,06:25:58, 551, 924,1475,0.626,1.676
  79,Mar/02/2020,06:26:08, 416, 982,1398,0.702,2.360
  80,Mar/02/2020,06:26:19, 350,1231,1581,0.778,3.517
  81,Mar/02/2020,06:26:34, 356,1220,1576,0.774,3.426
  82,Mar/02/2020,06:26:46, 395, 861,1256,0.685,2.179
  83,Mar/02/2020,06:27:03, 439,1580,2019,0.782,3.599
  84,Mar/02/2020,06:27:15, 387,1514,1901,0.796,3.912
