Sample Number,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
   1,Feb/03/2020,06:08:00, 334,1467,1801,0.814,4.392
   2,Feb/03/2020,06:08:47, 398,1377,1775,0.775,3.459
   3,Feb/03/2020,06:09:11, 352,1228,1580,0.777,3.488
   4,Feb/03/2020,06:09:31, 196, 796, 992,0.802,4.061
   5,Feb/03/2020,06:09:49, 348,1454,1802,0.806,4.178
   6,Feb/03/2020,06:10:09, 424,1332,1756,0.758,3.141
   7,Feb/03/2020,06:10:30, 364,1279,1643,0.778,3.513
   8,Feb/03/2020,06:10:53, 412,1531,1943,0.787,3.716
   9,Feb/03/2020,06:11:17, 360,1240,1600,0.775,3.444
  10,Feb/03/2020,06:11:45, 293, 995,1288,0.772,3.395
  11,Feb/03/2020,06:12:23, 377,1538,1915,0.803,4.079
  12,Feb/03/2020,06:12:52, 526,1316,1842,0.714,2.501
  13,Feb/03/2020,06:13:37, 387,1273,1660,0.766,3.289
  14,Feb/03/2020,06:14:07, 492,1839,2331,0.788,3.737
  15,Feb/03/2020,06:14:50, 394,1599,1993,0.802,4.058
  16,Feb/03/2020,06:15:15, 373,1611,1984,0.811,4.319
  17,Feb/03/2020,06:15:37, 416,1489,1905,0.781,3.579
  18,Feb/03/2020,06:15:56, 400,1562,1962,0.796,3.905
  19,Feb/03/2020,06:16:34, 423,1526,1949,0.782,3.607
  20,Feb/03/2020,06:16:57, 375,1330,1705,0.780,3.546
  21,Feb/03/2020,06:17:20, 426,1476,1902,0.776,3.464
  22,Feb/03/2020,06:17:39, 416,1360,1776,0.765,3.269
  23,Feb/03/2020,06:17:52, 449,1723,2172,0.793,3.837
  24,Feb/03/2020,06:18:09, 409,1470,1879,0.782,3.594
  25,Feb/03/2020,06:18:24, 399,1447,1846,0.783,3.626
  26,Feb/03/2020,06:18:39, 375,1622,1997,0.812,4.325
  27,Feb/03/2020,06:19:06, 504,1770,2274,0.778,3.511
  28,Feb/03/2020,06:19:25, 564,1409,1973,0.714,2.498
  29,Feb/03/2020,06:20:45, 370,1283,1653,0.776,3.467
  30,Feb/03/2020,06:21:01, 456,1362,1818,0.749,2.986
  31,Feb/03/2020,06:21:25, 420,1644,2064,0.796,3.914
  32,Feb/03/2020,06:21:42, 428,1618,2046,0.790,3.780
  33,Feb/03/2020,06:22:00, 300,1187,1487,0.798,3.956
  34,Feb/03/2020,06:22:17, 365,1468,1833,0.800,4.021
  35,Feb/03/2020,06:23:05, 351,1205,1556,0.774,3.433
  36,Feb/03/2020,06:23:26, 411,1051,1462,0.718,2.557
  37,Feb/03/2020,06:24:03, 418,1074,1492,0.719,2.569
  38,Feb/03/2020,06:24:23, 356,1363,1719,0.792,3.828
  39,Feb/03/2020,06:25:21, 276,1076,1352,0.795,3.898
  40,Feb/03/2020,06:26:01, 415,1734,2149,0.806,4.178
  41,Feb/03/2020,06:26:36, 390,1755,2145,0.818,4.500
  42,Feb/03/2020,06:27:12, 462,1584,2046,0.774,3.428
  43,Feb/03/2020,06:27:47, 332,1532,1864,0.821,4.614
  44,Feb/03/2020,06:28:20, 487,1864,2351,0.792,3.827
  45,Feb/03/2020,06:28:45, 326,1326,1652,0.802,4.067
  46,Feb/03/2020,06:29:20, 319,1548,1867,0.829,4.852
  47,Feb/03/2020,06:29:50, 411,1520,1931,0.787,3.698
  48,Feb/03/2020,06:30:24, 349,1529,1878,0.814,4.381
  49,Feb/03/2020,06:30:45, 372,1351,1723,0.784,3.631
  50,Feb/03/2020,06:31:01, 421,1556,1977,0.787,3.695
  51,Feb/03/2020,06:31:17, 372,1622,1994,0.813,4.360
  52,Feb/03/2020,06:31:40, 374,1677,2051,0.817,4.483
  53,Feb/03/2020,06:32:15, 430,1809,2239,0.807,4.206
  54,Feb/03/2020,06:33:00, 445,1525,1970,0.774,3.426
  55,Feb/03/2020,06:33:22, 458,1565,2023,0.773,3.417
  56,Feb/03/2020,06:33:42, 409,1399,1808,0.773,3.420
  57,Feb/03/2020,06:34:09, 399,1558,1957,0.796,3.904
  58,Feb/03/2020,06:34:39, 469,1599,2068,0.773,3.409
  59,Feb/03/2020,06:35:00, 464,1676,2140,0.783,3.612
  60,Feb/03/2020,06:35:20, 451,1644,2095,0.784,3.645
  61,Feb/03/2020,06:35:35, 406,1706,2112,0.807,4.201
  62,Feb/03/2020,06:35:51, 483,1778,2261,0.786,3.681
  63,Feb/03/2020,06:36:15, 519,1656,2175,0.761,3.190
  64,Feb/03/2020,06:36:30, 457,1600,2057,0.777,3.501
  65,Feb/03/2020,06:36:51, 415,1672,2087,0.801,4.028
  66,Feb/03/2020,06:37:11, 275,1188,1463,0.812,4.320
  67,Feb/03/2020,06:37:57, 378,1745,2123,0.821,4.616
  68,Feb/03/2020,06:38:28, 413,1697,2110,0.804,4.108
  69,Feb/03/2020,06:38:54, 472,1793,2265,0.791,3.798
  70,Feb/03/2020,06:39:20, 421,1723,2144,0.803,4.092
  71,Feb/03/2020,06:39:44, 398,1513,1911,0.791,3.801
  72,Feb/03/2020,06:40:15, 337,1503,1840,0.816,4.459
  73,Feb/03/2020,06:40:54, 379,1426,1805,0.790,3.762
  74,Feb/03/2020,06:41:25, 441,1481,1922,0.770,3.358
  75,Feb/03/2020,06:41:59, 421,1735,2156,0.804,4.121
  76,Feb/03/2020,06:42:18, 407,1595,2002,0.796,3.918
  77,Feb/03/2020,06:42:32, 436,1610,2046,0.786,3.692
  78,Feb/03/2020,06:42:45, 406,1298,1704,0.761,3.197
  79,Feb/03/2020,06:42:58, 399,1426,1825,0.781,3.573
  80,Feb/03/2020,06:43:14, 332,1308,1640,0.797,3.939
  81,Feb/03/2020,06:43:36, 384,1581,1965,0.804,4.117
