Sample Number,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
   1,Feb/17/2020,06:00:49, 412,1756,2168,0.809,4.262
   2,Feb/17/2020,06:01:04, 431,1746,2177,0.802,4.051
   3,Feb/17/2020,06:01:18, 358,1492,1850,0.806,4.167
   4,Feb/17/2020,06:01:32, 316,1481,1797,0.824,4.686
   5,Feb/17/2020,06:01:47, 365,1809,2174,0.832,4.956
   6,Feb/17/2020,06:02:00, 406,1448,1854,0.781,3.566
   7,Feb/17/2020,06:02:13, 384,1593,1977,0.805,4.148
   8,Feb/17/2020,06:02:32, 379,1496,1875,0.797,3.947
   9,Feb/17/2020,06:02:49, 365,1747,2112,0.827,4.786
  10,Feb/17/2020,06:03:07, 337,1440,1777,0.810,4.272
  11,Feb/17/2020,06:03:34, 360,1780,2140,0.831,4.944
  12,Feb/17/2020,06:03:44, 407,1767,2174,0.812,4.341
  13,Feb/17/2020,06:04:04, 312,1665,1977,0.842,5.336
  14,Feb/17/2020,06:04:24, 375,1531,1906,0.803,4.082
  15,Feb/17/2020,06:04:50, 332,1610,1942,0.829,4.849
  16,Feb/17/2020,06:05:21, 429,1890,2319,0.815,4.405
  17,Feb/17/2020,06:05:38, 401,1543,1944,0.793,3.847
  18,Feb/17/2020,06:06:52, 394,1684,2078,0.810,4.274
  19,Feb/17/2020,06:07:26, 345,1483,1828,0.811,4.298
  20,Feb/17/2020,06:07:41, 351,1634,1985,0.823,4.655
  21,Feb/17/2020,06:07:54, 413,1601,2014,0.794,3.876
  22,Feb/17/2020,06:08:09, 429,1425,1854,0.768,3.321
  23,Feb/17/2020,06:08:27, 427,1561,1988,0.785,3.655
  24,Feb/17/2020,06:08:39, 431,1548,1979,0.782,3.591
  25,Feb/17/2020,06:08:51, 371,1539,1910,0.805,4.148
  26,Feb/17/2020,06:09:14, 337,1463,1800,0.812,4.341
  27,Feb/17/2020,06:09:29, 444,1734,2178,0.796,3.905
  28,Feb/17/2020,06:09:41, 347, 952,1299,0.732,2.743
  29,Feb/17/2020,06:10:03, 346,1135,1481,0.766,3.280
  30,Feb/17/2020,06:10:18, 434,1564,1998,0.782,3.603
  31,Feb/17/2020,06:10:28, 361,1770,2131,0.830,4.903
  32,Feb/17/2020,06:10:54, 399,1692,2091,0.809,4.240
  33,Feb/17/2020,06:11:22, 328,1612,1940,0.830,4.914
  34,Feb/17/2020,06:11:43, 352,1751,2103,0.832,4.974
  35,Feb/17/2020,06:11:54, 374,1441,1815,0.793,3.852
  36,Feb/17/2020,06:12:12, 389, 872,1261,0.691,2.241
  37,Feb/17/2020,06:12:38, 377,1209,1586,0.762,3.206
  38,Feb/17/2020,06:12:49, 343,1357,1700,0.798,3.956
  39,Feb/17/2020,06:13:14, 299,1353,1652,0.819,4.525
  40,Feb/17/2020,06:13:31, 358,1721,2079,0.827,4.807
  41,Feb/17/2020,06:13:57, 386,1474,1860,0.792,3.818
  42,Feb/17/2020,06:14:16, 393,1366,1759,0.776,3.475
  43,Feb/17/2020,06:14:32, 349,1643,1992,0.824,4.707
  44,Feb/17/2020,06:14:57, 433,1636,2069,0.790,3.778
  45,Feb/17/2020,06:15:16, 344,1242,1586,0.783,3.610
  46,Feb/17/2020,06:15:35, 353,1628,1981,0.821,4.611
  47,Feb/17/2020,06:16:00, 408,1664,2072,0.803,4.078
  48,Feb/17/2020,06:16:10, 353,1590,1943,0.818,4.504
  49,Feb/17/2020,06:16:31, 364,1376,1740,0.790,3.780
  50,Feb/17/2020,06:16:47, 327,1460,1787,0.817,4.464
  51,Feb/17/2020,06:17:01, 316,1416,1732,0.817,4.481
  52,Feb/17/2020,06:17:20, 424,1257,1681,0.747,2.964
  53,Feb/17/2020,06:17:34, 368,1817,2185,0.831,4.937
  54,Feb/17/2020,06:17:48, 407,1506,1913,0.787,3.700
  55,Feb/17/2020,06:18:01, 347,1460,1807,0.807,4.207
  56,Feb/17/2020,06:18:14, 290,1004,1294,0.775,3.462
  57,Feb/17/2020,06:18:33, 344,1528,1872,0.816,4.441
  58,Feb/17/2020,06:18:49, 399,1329,1728,0.769,3.330
  59,Feb/17/2020,06:19:02, 469,1614,2083,0.774,3.441
  60,Feb/17/2020,06:19:13, 453,1645,2098,0.784,3.631
  61,Feb/17/2020,06:19:23, 331,1283,1614,0.794,3.876
  62,Feb/17/2020,06:19:53, 400,1695,2095,0.809,4.237
  63,Feb/17/2020,06:20:05, 422,1748,2170,0.805,4.142
  64,Feb/17/2020,06:20:18, 381,1280,1661,0.770,3.359
  65,Feb/17/2020,06:20:32, 413,1673,2086,0.802,4.050
  66,Feb/17/2020,06:20:43, 383,1310,1693,0.773,3.420
  67,Feb/17/2020,06:21:03, 380,1751,2131,0.821,4.607
  68,Feb/17/2020,06:21:33, 279,1602,1881,0.851,5.741
  69,Feb/17/2020,06:22:01, 455,1664,2119,0.785,3.657
  70,Feb/17/2020,06:22:21, 348,1526,1874,0.814,4.385
  71,Feb/17/2020,06:22:41, 398,1556,1954,0.796,3.909
  72,Feb/17/2020,06:23:19, 300,1479,1779,0.831,4.930
  73,Feb/17/2020,06:23:44, 381,1683,2064,0.815,4.417
  74,Feb/17/2020,06:24:01, 306,1178,1484,0.793,3.849
  75,Feb/17/2020,06:24:44, 346,1649,1995,0.826,4.765
  76,Feb/17/2020,06:24:57, 401,1590,1991,0.798,3.965
  77,Feb/17/2020,06:25:08, 401,1701,2102,0.809,4.241
  78,Feb/17/2020,06:25:26, 353,1234,1587,0.777,3.495
  79,Feb/17/2020,06:25:36, 318,1123,1441,0.779,3.531
  80,Feb/17/2020,06:25:48, 330,1420,1750,0.811,4.303
  81,Feb/17/2020,06:26:05, 380,1584,1964,0.806,4.168
  82,Feb/17/2020,06:26:16, 477,1162,1639,0.708,2.436
  83,Feb/17/2020,06:26:29, 396,1625,2021,0.804,4.103
  84,Feb/17/2020,06:26:40, 358,1564,1922,0.813,4.368
