Sample Number,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
   1,Mar/14/2020,05:11:59, 481, 144, 625,0.230,0.299
   2,Mar/14/2020,05:12:14, 457, 277, 734,0.377,0.606
   3,Mar/14/2020,05:12:29, 310,1374,1684,0.815,4.432
   4,Mar/14/2020,05:12:50, 379,1266,1645,0.769,3.340
   5,Mar/14/2020,05:13:08, 337,1436,1773,0.809,4.261
   6,Mar/14/2020,05:13:22, 473, 711,1184,0.600,1.503
   7,Mar/14/2020,05:13:39, 376,1070,1446,0.739,2.845
   8,Mar/14/2020,05:13:51, 331, 752,1083,0.694,2.271
   9,Mar/14/2020,05:14:06, 480, 977,1457,0.670,2.035
  10,Mar/14/2020,05:14:27, 237,   0, 237,0.000,0.000
  11,Mar/14/2020,05:14:52, 389,1683,2072,0.812,4.326
  12,Mar/14/2020,05:15:12, 527,1450,1977,0.733,2.751
  13,Mar/14/2020,05:15:41, 374, 101, 475,0.212,0.270
  14,Mar/14/2020,05:16:03, 230,   0, 230,0.000,0.000
  15,Mar/14/2020,05:16:27, 394, 101, 495,0.204,0.256
  16,Mar/14/2020,05:16:52, 498,1431,1929,0.741,2.873
  17,Mar/14/2020,05:17:07, 334,1325,1659,0.798,3.967
  18,Mar/14/2020,05:17:38, 394,1408,1802,0.781,3.573
  19,Mar/14/2020,05:18:14, 347,   0, 347,0.000,0.000
  20,Mar/14/2020,05:18:35, 367,1713,2080,0.823,4.667
  21,Mar/14/2020,05:19:07, 211, 600, 811,0.739,2.843
  22,Mar/14/2020,05:19:20, 493, 579,1072,0.540,1.174
  23,Mar/14/2020,05:19:35, 469,1224,1693,0.722,2.609
  24,Mar/14/2020,05:19:54, 183,   4, 187,0.021,0.021
  25,Mar/14/2020,05:20:07, 411,1068,1479,0.722,2.598
  26,Mar/14/2020,05:20:38, 469, 955,1424,0.670,2.036
  27,Mar/14/2020,05:20:53, 507,1196,1703,0.702,2.358
  28,Mar/14/2020,05:21:04, 401, 642,1043,0.615,1.600
  29,Mar/14/2020,05:21:19, 279,1250,1529,0.817,4.480
  30,Mar/14/2020,05:21:34, 276,1137,1413,0.804,4.119
  31,Mar/14/2020,05:21:47, 346,1704,2050,0.831,4.924
  32,Mar/14/2020,05:22:03, 269,1231,1500,0.820,4.576
  33,Mar/14/2020,05:22:16, 311,1422,1733,0.820,4.572
  34,Mar/14/2020,05:22:51, 339,1681,2020,0.832,4.958
  35,Mar/14/2020,05:23:04, 380, 767,1147,0.668,2.018
  36,Mar/14/2020,05:23:25, 283, 681, 964,0.706,2.406
  37,Mar/14/2020,05:23:39, 420,1364,1784,0.764,3.247
  38,Mar/14/2020,05:23:53, 290, 885,1175,0.753,3.051
  39,Mar/14/2020,05:24:10, 292,1438,1730,0.831,4.924
  40,Mar/14/2020,05:24:23, 404, 277, 681,0.406,0.685
  41,Mar/14/2020,05:24:38, 307,1197,1504,0.795,3.899
  42,Mar/14/2020,05:24:53, 336,1136,1472,0.771,3.380
  43,Mar/14/2020,05:25:08, 372,  65, 437,0.148,0.174
  44,Mar/14/2020,05:25:35, 262, 793,1055,0.751,3.026
  45,Mar/14/2020,05:25:55, 389, 876,1265,0.692,2.251
  46,Mar/14/2020,05:26:09, 385,1228,1613,0.761,3.189
  47,Mar/14/2020,05:26:45, 291,   0, 291,0.000,0.000
  48,Mar/14/2020,05:27:04, 306,1538,1844,0.834,5.026
  49,Mar/14/2020,05:27:32, 364,1066,1430,0.745,2.928
  50,Mar/14/2020,05:28:02, 383,1430,1813,0.788,3.733
  51,Mar/14/2020,05:28:23, 413, 175, 588,0.297,0.423
  52,Mar/14/2020,05:28:35, 273,   3, 276,0.010,0.010
  53,Mar/14/2020,05:28:50, 294,   0, 294,0.000,0.000
  54,Mar/14/2020,05:29:03, 434, 947,1381,0.685,2.182
  55,Mar/14/2020,05:29:16, 423,1231,1654,0.744,2.910
  56,Mar/14/2020,05:29:32, 349,1030,1379,0.746,2.951
  57,Mar/14/2020,05:29:43, 166,  12, 178,0.067,0.072
  58,Mar/14/2020,05:29:57, 449, 214, 663,0.322,0.476
  59,Mar/14/2020,05:30:13, 514, 680,1194,0.569,1.322
  60,Mar/14/2020,05:30:23, 326, 911,1237,0.736,2.794
  61,Mar/14/2020,05:30:42, 270,   0, 270,0.000,0.000
  62,Mar/14/2020,05:30:56, 387,1630,2017,0.808,4.211
  63,Mar/14/2020,05:31:09, 134,   1, 135,0.007,0.007
  64,Mar/14/2020,05:31:20, 340,1355,1695,0.799,3.985
  65,Mar/14/2020,05:31:32, 318,1548,1866,0.829,4.867
  66,Mar/14/2020,05:31:44, 213,   4, 217,0.018,0.018
  67,Mar/14/2020,05:32:01, 392,  30, 422,0.071,0.076
  68,Mar/14/2020,05:32:23, 296,1333,1629,0.818,4.503
  69,Mar/14/2020,05:32:38, 402, 623,1025,0.607,1.549
  70,Mar/14/2020,05:33:01, 231,   0, 231,0.000,0.000
  71,Mar/14/2020,05:33:13, 316,1232,1548,0.795,3.898
  72,Mar/14/2020,05:33:33, 267,1230,1497,0.821,4.606
  73,Mar/14/2020,05:34:00, 300,1040,1340,0.776,3.466
  74,Mar/14/2020,05:34:17, 279,1249,1528,0.817,4.476
  75,Mar/14/2020,05:34:37, 349,1377,1726,0.797,3.945
  76,Mar/14/2020,05:34:52, 366,1373,1739,0.789,3.751
  77,Mar/14/2020,05:35:06, 346,1274,1620,0.786,3.682
  78,Mar/14/2020,05:35:16, 255,   2, 257,0.007,0.007
  79,Mar/14/2020,05:35:26, 340,   0, 340,0.000,0.000
  80,Mar/14/2020,05:35:37, 398, 800,1198,0.667,2.010
  81,Mar/14/2020,05:35:51, 406, 837,1243,0.673,2.061
  82,Mar/14/2020,05:36:03, 384,  72, 456,0.157,0.187
  83,Mar/14/2020,05:36:18, 387,1499,1886,0.794,3.873
  84,Mar/14/2020,05:36:29, 284,1361,1645,0.827,4.792
