Sample Number,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
   1,Mar/30/2020,05:12:02,  69,   0,  69,0.000,0.000
   2,Mar/30/2020,05:12:12, 109,   0, 109,0.000,0.000
   3,Mar/30/2020,05:12:35, 213, 404, 617,0.654,1.896
   4,Mar/30/2020,05:12:44, 189, 830,1019,0.814,4.391
   5,Mar/30/2020,05:12:57, 272,1229,1501,0.818,4.518
   6,Mar/30/2020,05:13:07,  60,   0,  60,0.000,0.000
   7,Mar/30/2020,05:13:15, 167,  11, 178,0.061,0.065
   8,Mar/30/2020,05:13:32, 197,   0, 197,0.000,0.000
   9,Mar/30/2020,05:13:42, 139,   0, 139,0.000,0.000
  10,Mar/30/2020,05:14:01,  51,   6,  57,0.105,0.117
  11,Mar/30/2020,05:14:23, 284,1193,1477,0.807,4.200
  12,Mar/30/2020,05:14:36, 121,   4, 125,0.032,0.033
  13,Mar/30/2020,05:14:57, 148, 582, 730,0.797,3.932
  14,Mar/30/2020,05:15:10,  59,   5,  64,0.078,0.084
  15,Mar/30/2020,05:15:22,  44,   2,  46,0.043,0.045
  16,Mar/30/2020,05:15:34, 396,1527,1923,0.794,3.856
  17,Mar/30/2020,05:15:50, 252,1182,1434,0.824,4.690
  18,Mar/30/2020,05:16:09, 183, 771, 954,0.808,4.213
  19,Mar/30/2020,05:16:37,  95,   1,  96,0.010,0.010
  20,Mar/30/2020,05:16:49, 251,1216,1467,0.828,4.844
  21,Mar/30/2020,05:17:00, 122,   6, 128,0.046,0.049
  22,Mar/30/2020,05:17:13,  62,   2,  64,0.031,0.032
  23,Mar/30/2020,05:17:24, 383,   1, 384,0.002,0.002
  24,Mar/30/2020,05:17:46,  52,   0,  52,0.000,0.000
  25,Mar/30/2020,05:18:01, 274,1086,1360,0.798,3.963
  26,Mar/30/2020,05:18:12,  61,   7,  68,0.102,0.114
  27,Mar/30/2020,05:18:42,  72,   3,  75,0.040,0.041
  28,Mar/30/2020,05:19:10,  48,   3,  51,0.058,0.062
  29,Mar/30/2020,05:19:23,  42,   0,  42,0.000,0.000
  30,Mar/30/2020,05:19:32, 175, 711, 886,0.802,4.062
  31,Mar/30/2020,05:19:42, 311,1042,1353,0.770,3.350
  32,Mar/30/2020,05:19:56, 168, 683, 851,0.802,4.065
  33,Mar/30/2020,05:20:07, 249, 853,1102,0.774,3.425
  34,Mar/30/2020,05:20:20, 269,1380,1649,0.836,5.130
  35,Mar/30/2020,05:20:28, 242, 863,1105,0.780,3.566
  36,Mar/30/2020,05:20:39, 123, 246, 369,0.666,2.000
  37,Mar/30/2020,05:20:49, 257,1140,1397,0.816,4.435
  38,Mar/30/2020,05:21:03, 107, 323, 430,0.751,3.018
  39,Mar/30/2020,05:21:24, 238, 923,1161,0.795,3.878
  40,Mar/30/2020,05:21:36,  94,   0,  94,0.000,0.000
  41,Mar/30/2020,05:21:51, 274, 905,1179,0.767,3.302
  42,Mar/30/2020,05:22:02, 368, 655,1023,0.640,1.779
  43,Mar/30/2020,05:22:24,  59,   9,  68,0.132,0.152
  44,Mar/30/2020,05:22:36, 152, 642, 794,0.808,4.223
  45,Mar/30/2020,05:22:45, 233,1091,1324,0.824,4.682
  46,Mar/30/2020,05:22:57, 257, 570, 827,0.689,2.217
  47,Mar/30/2020,05:23:21,  67,   2,  69,0.028,0.029
  48,Mar/30/2020,05:23:32, 247, 934,1181,0.790,3.781
  49,Mar/30/2020,05:23:42, 129,   8, 137,0.058,0.062
  50,Mar/30/2020,05:23:52, 219, 912,1131,0.806,4.164
  51,Mar/30/2020,05:24:01,  92,   2,  94,0.021,0.021
  52,Mar/30/2020,05:24:38,  49,   8,  57,0.140,0.163
  53,Mar/30/2020,05:24:53,  95,   0,  95,0.000,0.000
  54,Mar/30/2020,05:25:08,  73,   8,  81,0.098,0.109
  55,Mar/30/2020,05:25:21, 139,   6, 145,0.041,0.043
  56,Mar/30/2020,05:25:34, 134,   7, 141,0.049,0.052
  57,Mar/30/2020,05:25:45,  67,   1,  68,0.014,0.014
  58,Mar/30/2020,05:26:02, 182, 733, 915,0.801,4.027
  59,Mar/30/2020,05:26:17,  85,   3,  88,0.034,0.035
  60,Mar/30/2020,05:26:27, 118,   7, 125,0.056,0.059
  61,Mar/30/2020,05:26:36,  94,   6, 100,0.060,0.063
  62,Mar/30/2020,05:26:45,  75,   0,  75,0.000,0.000
  63,Mar/30/2020,05:27:21,  47,   6,  53,0.113,0.127
  64,Mar/30/2020,05:27:32, 263,1108,1371,0.808,4.212
  65,Mar/30/2020,05:27:44, 283,1114,1397,0.797,3.936
  66,Mar/30/2020,05:27:56,  52,   3,  55,0.054,0.057
  67,Mar/30/2020,05:28:15, 117, 422, 539,0.782,3.606
  68,Mar/30/2020,05:28:31, 206, 945,1151,0.821,4.587
  69,Mar/30/2020,05:28:42, 246, 899,1145,0.785,3.654
  70,Mar/30/2020,05:28:55,  76,   2,  78,0.025,0.026
  71,Mar/30/2020,05:29:07, 266,1051,1317,0.798,3.951
  72,Mar/30/2020,05:29:17, 278, 618, 896,0.689,2.223
  73,Mar/30/2020,05:29:34, 263, 837,1100,0.760,3.182
  74,Mar/30/2020,05:29:49, 162, 733, 895,0.818,4.524
  75,Mar/30/2020,05:30:55, 257, 238, 495,0.480,0.926
  76,Mar/30/2020,05:31:25, 146,   1, 147,0.006,0.006
  77,Mar/30/2020,05:31:35, 148,   0, 148,0.000,0.000
  78,Mar/30/2020,05:31:45,  63,   0,  63,0.000,0.000
  79,Mar/30/2020,05:31:56,  66,   6,  72,0.083,0.090
  80,Mar/30/2020,05:32:05,  54,   4,  58,0.068,0.074
  81,Mar/30/2020,05:32:17,  49,   6,  55,0.109,0.122
  82,Mar/30/2020,05:32:30,  43,   6,  49,0.122,0.139
  83,Mar/30/2020,05:32:41, 150, 632, 782,0.808,4.213
