Sample Number,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
  55,Mar/09/2020,05:22:50, 391,1063,1454,0.731,2.718
  56,Mar/09/2020,05:23:04, 347,1125,1472,0.764,3.242
  57,Mar/09/2020,05:23:15, 448,   0, 448,0.000,0.000
  58,Mar/09/2020,05:23:31, 448, 404, 852,0.474,0.901
  59,Mar/09/2020,05:23:49, 548,1022,1570,0.650,1.864
  60,Mar/09/2020,05:24:00, 428,1169,1597,0.731,2.731
  61,Mar/09/2020,05:24:12, 476,  83, 559,0.148,0.174
  62,Mar/09/2020,05:24:24, 419,1524,1943,0.784,3.637
  63,Mar/09/2020,05:24:36, 249,  69, 318,0.216,0.277
  64,Mar/09/2020,05:24:47, 379,1224,1603,0.763,3.229
  65,Mar/09/2020,05:24:57, 423,1779,2202,0.807,4.205
  66,Mar/09/2020,05:25:11, 629,   0, 629,0.000,0.000
  67,Mar/09/2020,05:25:28, 439, 624,1063,0.587,1.421
  68,Mar/09/2020,05:25:50, 342,1425,1767,0.806,4.166
  69,Mar/09/2020,05:26:05, 518,1111,1629,0.682,2.144
  70,Mar/09/2020,05:26:25, 477,   0, 477,0.000,0.000
  71,Mar/09/2020,05:26:38, 470,1122,1592,0.704,2.387
  72,Mar/09/2020,05:26:50, 273,1076,1349,0.797,3.941
  73,Mar/09/2020,05:27:04, 339,1242,1581,0.785,3.663
  74,Mar/09/2020,05:27:18, 267,1090,1357,0.803,4.082
  75,Mar/09/2020,05:27:43, 380,1335,1715,0.778,3.513
  76,Mar/09/2020,05:27:55, 437,1460,1897,0.769,3.340
  77,Mar/09/2020,05:28:06, 415,1543,1958,0.788,3.718
  78,Mar/09/2020,05:28:15, 372,  23, 395,0.058,0.061
  79,Mar/09/2020,05:28:27, 440, 146, 586,0.249,0.331
  80,Mar/09/2020,05:28:41, 426, 901,1327,0.678,2.115
  81,Mar/09/2020,05:28:55, 415,1185,1600,0.740,2.855
  82,Mar/09/2020,05:29:11, 659, 442,1101,0.401,0.670
  83,Mar/09/2020,05:29:31, 395,1488,1883,0.790,3.767
  84,Mar/09/2020,05:29:47, 428,1673,2101,0.796,3.908
