Sample Number,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
   1,Mar/09/2020,05:07:58, 515, 669,1184,0.565,1.299
   2,Mar/09/2020,05:08:16, 498, 992,1490,0.665,1.991
   3,Mar/09/2020,05:08:30, 349,1491,1840,0.810,4.272
   4,Mar/09/2020,05:08:44, 428,1239,1667,0.743,2.894
   5,Mar/09/2020,05:08:55, 402,1119,1521,0.735,2.783
   6,Mar/09/2020,05:09:10, 489, 815,1304,0.625,1.666
   7,Mar/09/2020,05:09:25, 388,1214,1602,0.757,3.128
   8,Mar/09/2020,05:09:38, 410,1357,1767,0.767,3.309
   9,Mar/09/2020,05:09:49, 443,1087,1530,0.710,2.453
  10,Mar/09/2020,05:10:17, 320,  64, 384,0.166,0.200
  11,Mar/09/2020,05:10:55, 368,1257,1625,0.773,3.415
  12,Mar/09/2020,05:11:18, 429,1202,1631,0.736,2.801
  13,Mar/09/2020,05:11:41, 633, 166, 799,0.207,0.262
  14,Mar/09/2020,05:11:55, 582, 584,1166,0.500,1.003
  15,Mar/09/2020,05:12:24, 530, 809,1339,0.604,1.526
  16,Mar/09/2020,05:12:40, 446,1409,1855,0.759,3.159
  17,Mar/09/2020,05:12:53, 383,1377,1760,0.782,3.595
  18,Mar/09/2020,05:13:18, 478, 903,1381,0.653,1.889
  19,Mar/09/2020,05:14:00, 444, 133, 577,0.230,0.299
  20,Mar/09/2020,05:14:25, 429,1802,2231,0.807,4.200
  21,Mar/09/2020,05:14:38, 229, 780,1009,0.773,3.406
  22,Mar/09/2020,05:14:51, 494, 973,1467,0.663,1.969
  23,Mar/09/2020,05:15:03, 434,1139,1573,0.724,2.624
  24,Mar/09/2020,05:15:14, 256,   0, 256,0.000,0.000
  25,Mar/09/2020,05:15:24, 375, 900,1275,0.705,2.400
  26,Mar/09/2020,05:15:35, 436, 958,1394,0.687,2.197
  27,Mar/09/2020,05:15:52, 507,1130,1637,0.690,2.228
  28,Mar/09/2020,05:16:02, 383, 572, 955,0.598,1.493
  29,Mar/09/2020,05:16:18, 334,1222,1556,0.785,3.658
  30,Mar/09/2020,05:16:30, 401,1427,1828,0.780,3.558
  31,Mar/09/2020,05:16:39, 362,1781,2143,0.831,4.919
  32,Mar/09/2020,05:17:11, 359,1201,1560,0.769,3.345
  33,Mar/09/2020,05:17:21, 351,1122,1473,0.761,3.196
  34,Mar/09/2020,05:17:34, 391,1748,2139,0.817,4.470
  35,Mar/09/2020,05:17:44, 362,1184,1546,0.765,3.270
  36,Mar/09/2020,05:18:04, 308, 976,1284,0.760,3.168
  37,Mar/09/2020,05:18:16, 393,1183,1576,0.750,3.010
  38,Mar/09/2020,05:18:28, 372, 526, 898,0.585,1.413
  39,Mar/09/2020,05:18:49, 276,1269,1545,0.821,4.597
  40,Mar/09/2020,05:19:05, 378, 370, 748,0.494,0.978
  41,Mar/09/2020,05:19:20, 342,1168,1510,0.773,3.415
  42,Mar/09/2020,05:19:39, 347,1219,1566,0.778,3.512
  43,Mar/09/2020,05:19:52, 391, 740,1131,0.654,1.892
  44,Mar/09/2020,05:20:13, 408,1106,1514,0.730,2.710
  45,Mar/09/2020,05:20:27, 416,1002,1418,0.706,2.408
  46,Mar/09/2020,05:20:44, 387,1200,1587,0.756,3.100
  47,Mar/09/2020,05:21:08, 556, 244, 800,0.305,0.438
  48,Mar/09/2020,05:21:21, 338,1557,1895,0.821,4.606
  49,Mar/09/2020,05:21:37, 330,1194,1524,0.783,3.618
  50,Mar/09/2020,05:21:47, 318,1003,1321,0.759,3.154
  51,Mar/09/2020,05:22:01, 432, 720,1152,0.625,1.666
  52,Mar/09/2020,05:22:11, 462,   0, 462,0.000,0.000
  53,Mar/09/2020,05:22:28, 502,   0, 502,0.000,0.000
  54,Mar/09/2020,05:22:39, 499,1260,1759,0.716,2.525
