Sample Number,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
   1,Feb/10/2020,06:09:19, 349,1556,1905,0.816,4.458
   2,Feb/10/2020,06:11:10, 438,1638,2076,0.789,3.739
   3,Feb/10/2020,06:12:00, 341,1413,1754,0.805,4.143
   4,Feb/10/2020,06:12:55, 354,1198,1552,0.771,3.384
   5,Feb/10/2020,06:14:34, 357,1526,1883,0.810,4.274
   6,Feb/10/2020,06:14:47, 223, 999,1222,0.817,4.479
   7,Feb/10/2020,06:15:07, 352,1383,1735,0.797,3.928
   8,Feb/10/2020,06:15:22, 406,1529,1935,0.790,3.766
   9,Feb/10/2020,06:15:46, 405,1705,2110,0.808,4.209
  10,Feb/10/2020,06:16:00, 411,1516,1927,0.786,3.688
  11,Feb/10/2020,06:16:27, 344,1671,2015,0.829,4.857
  12,Feb/10/2020,06:16:49, 415,1605,2020,0.794,3.867
  13,Feb/10/2020,06:17:05, 306,1595,1901,0.839,5.212
  14,Feb/10/2020,06:17:30, 484,1858,2342,0.793,3.838
  15,Feb/10/2020,06:17:53, 311,1503,1814,0.828,4.832
  16,Feb/10/2020,06:18:15, 407,1716,2123,0.808,4.216
  17,Feb/10/2020,06:18:40, 350,1477,1827,0.808,4.220
  18,Feb/10/2020,06:19:12, 336,1352,1688,0.800,4.023
  19,Feb/10/2020,06:19:46, 393,1717,2110,0.813,4.368
  20,Feb/10/2020,06:19:59, 379,1607,1986,0.809,4.240
  21,Feb/10/2020,06:20:25, 404,1681,2085,0.806,4.160
  22,Feb/10/2020,06:20:39, 499,1650,2149,0.767,3.306
  23,Feb/10/2020,06:20:50, 382,1645,2027,0.811,4.306
  24,Feb/10/2020,06:21:04, 500,1634,2134,0.765,3.268
  25,Feb/10/2020,06:21:13, 437,1784,2221,0.803,4.082
  26,Feb/10/2020,06:21:24, 328,1605,1933,0.830,4.893
  27,Feb/10/2020,06:21:43, 451,1731,2182,0.793,3.838
  28,Feb/10/2020,06:21:54, 402,1260,1662,0.758,3.134
  29,Feb/10/2020,06:22:10, 339,1157,1496,0.773,3.412
  30,Feb/10/2020,06:22:25, 365,1545,1910,0.808,4.232
  31,Feb/10/2020,06:22:38, 376,1728,2104,0.821,4.595
  32,Feb/10/2020,06:22:52, 307,1100,1407,0.781,3.583
  33,Feb/10/2020,06:23:10, 367,1748,2115,0.826,4.762
  34,Feb/10/2020,06:23:27, 367,1890,2257,0.837,5.149
  35,Feb/10/2020,06:23:44, 361,1254,1615,0.776,3.473
  36,Feb/10/2020,06:24:30, 385, 944,1329,0.710,2.451
  37,Feb/10/2020,06:24:53, 470,1437,1907,0.753,3.057
  38,Feb/10/2020,06:25:07, 297, 884,1181,0.748,2.976
  39,Feb/10/2020,06:25:39, 286,1316,1602,0.821,4.601
  40,Feb/10/2020,06:26:04, 349,1755,2104,0.834,5.028
  41,Feb/10/2020,06:26:20, 339,1409,1748,0.806,4.156
  42,Feb/10/2020,06:26:54, 476,1455,1931,0.753,3.056
  43,Feb/10/2020,06:27:11, 379,1757,2136,0.822,4.635
  44,Feb/10/2020,06:27:35, 496,1738,2234,0.777,3.504
  45,Feb/10/2020,06:27:59, 360,1366,1726,0.791,3.794
  46,Feb/10/2020,06:28:23, 370,1657,2027,0.817,4.478
  47,Feb/10/2020,06:28:53, 385,1516,1901,0.797,3.937
  48,Feb/10/2020,06:29:07, 318,1615,1933,0.835,5.078
  49,Feb/10/2020,06:29:28, 398,1519,1917,0.792,3.816
  50,Feb/10/2020,06:29:58, 312,1249,1561,0.800,4.003
  51,Feb/10/2020,06:30:12, 300,1285,1585,0.810,4.283
  52,Feb/10/2020,06:30:27, 454,1552,2006,0.773,3.418
  53,Feb/10/2020,06:30:43, 354,1512,1866,0.810,4.271
  54,Feb/10/2020,06:30:54, 400,1418,1818,0.779,3.545
  55,Feb/10/2020,06:31:07, 354,1470,1824,0.805,4.152
  56,Feb/10/2020,06:31:22, 402,1388,1790,0.775,3.452
  57,Feb/10/2020,06:31:39, 293,1272,1565,0.812,4.341
  58,Feb/10/2020,06:31:54, 367,1405,1772,0.792,3.828
  59,Feb/10/2020,06:32:10, 439,1630,2069,0.787,3.712
  60,Feb/10/2020,06:32:23, 477,1639,2116,0.774,3.436
  61,Feb/10/2020,06:32:40, 393,1671,2064,0.809,4.251
  62,Feb/10/2020,06:33:03, 391,1664,2055,0.809,4.255
  63,Feb/10/2020,06:33:23, 409,1501,1910,0.785,3.669
  64,Feb/10/2020,06:33:37, 468,1683,2151,0.782,3.596
  65,Feb/10/2020,06:33:50, 442,1691,2133,0.792,3.825
  66,Feb/10/2020,06:34:03, 365,1466,1831,0.800,4.016
  67,Feb/10/2020,06:34:24, 417,1852,2269,0.816,4.441
  68,Feb/10/2020,06:34:45, 343,1581,1924,0.821,4.609
  69,Feb/10/2020,06:35:07, 495,1808,2303,0.785,3.652
  70,Feb/10/2020,06:35:27, 407,1788,2195,0.814,4.393
  71,Feb/10/2020,06:35:46, 457,1654,2111,0.783,3.619
  72,Feb/10/2020,06:36:08, 317,1555,1872,0.830,4.905
  73,Feb/10/2020,06:36:31, 382,1674,2056,0.814,4.382
  74,Feb/10/2020,06:37:06, 440,1436,1876,0.765,3.263
  75,Feb/10/2020,06:37:38, 403,1771,2174,0.814,4.394
  76,Feb/10/2020,06:37:51, 421,1657,2078,0.797,3.935
  77,Feb/10/2020,06:38:09, 401,1682,2083,0.807,4.194
  78,Feb/10/2020,06:38:24, 356,1306,1662,0.785,3.668
  79,Feb/10/2020,06:38:33, 348,1277,1625,0.785,3.669
  80,Feb/10/2020,06:38:45, 360,1422,1782,0.797,3.950
  81,Feb/10/2020,06:39:01, 357,1439,1796,0.801,4.030
  82,Feb/10/2020,06:39:13, 417,1199,1616,0.741,2.875
  83,Feb/10/2020,06:39:27, 426,1757,2183,0.804,4.124
  84,Feb/10/2020,06:39:37, 366,1485,1851,0.802,4.057
